"범죄별(1)",범죄별(2),범죄별(3),2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018
"범죄별(1)",범죄별(2),범죄별(3),합계,전과없음,전과,전과,전과,전과,전과,전과,전과,전과,전과,전과,미상
"범죄별(1)",범죄별(2),범죄별(3),소계,소계,소계,1범,2범,3범,4범,5범,6범,7범,8범,9범이상,소계
"특별법범",소계,소계,11937,6735,3871,1421,731,437,339,184,154,139,94,372,1331
"특별법범",개발제한구역의지정및관리에관한특별조치법,소계,-,-,-,-,-,-,-,-,-,-,-,-,-
"특별법범",개인정보보호법,소계,2,1,-,-,-,-,-,-,-,-,-,-,1
"특별법범",건축법,소계,-,-,-,-,-,-,-,-,-,-,-,-,-
"특별법범",게임산업진흥에관한법률,소계,89,68,12,7,1,-,3,1,-,-,-,-,9
"특별법범",경범죄처벌법,소계,69,37,27,8,6,3,-,1,1,2,1,5,5
"특별법범",공유재산및물품관리법,소계,-,-,-,-,-,-,-,-,-,-,-,-,-
"특별법범",공인중개사법,소계,-,-,-,-,-,-,-,-,-,-,-,-,-
"특별법범",공중위생관리법,소계,3,2,1,1,-,-,-,-,-,-,-,-,-
"특별법범",공직선거법,소계,12,5,4,-,1,-,2,1,-,-,-,-,3
"특별법범",교통사고처리특례법,소계,2577,1191,738,295,145,81,73,24,27,20,13,60,648
"특별법범",국민체육진흥법,소계,7,3,3,2,-,1,-,-,-,-,-,-,1
"특별법범",국토의계획및이용에관한법률,소계,-,-,-,-,-,-,-,-,-,-,-,-,-
"특별법범",근로기준법,소계,1,-,-,-,-,-,-,-,-,-,-,-,1
"특별법범",근로자퇴직급여보장법,소계,-,-,-,-,-,-,-,-,-,-,-,-,-
"특별법범",농수산물의원산지표시에관한법률,소계,-,-,-,-,-,-,-,-,-,-,-,-,-
"특별법범",농지법,소계,-,-,-,-,-,-,-,-,-,-,-,-,-
"특별법범",대기환경보전법,소계,-,-,-,-,-,-,-,-,-,-,-,-,-
"특별법범",대부업등의등록및금융이용자보호에관한법률,소계,14,5,8,2,5,-,-,-,1,-,-,-,1
"특별법범",도로교통법,소계,4634,2571,1901,670,356,223,171,88,75,74,53,191,162
"특별법범",도로법,소계,-,-,-,-,-,-,-,-,-,-,-,-,-
"특별법범",마약류관리에관한법률,소계,58,29,24,4,3,4,2,1,5,-,2,3,5
"특별법범",물환경보전법,소계,-,-,-,-,-,-,-,-,-,-,-,-,-
"특별법범",병역법,소계,-,-,-,-,-,-,-,-,-,-,-,-,-
"특별법범",부정경쟁방지및영업비밀보호에관한법률,소계,-,-,-,-,-,-,-,-,-,-,-,-,-
"특별법범",부정수표단속법,소계,7,-,7,-,1,1,-,3,1,-,-,1,-
"특별법범",사행행위등규제및처벌특례법,소계,-,-,-,-,-,-,-,-,-,-,-,-,-
"특별법범",산림자원의조성및관리에관한법률,소계,-,-,-,-,-,-,-,-,-,-,-,-,-
"특별법범",산업안전보건법,소계,-,-,-,-,-,-,-,-,-,-,-,-,-
"특별법범",산지관리법,소계,-,-,-,-,-,-,-,-,-,-,-,-,-
"특별법범",상표법,소계,7,5,-,-,-,-,-,-,-,-,-,-,2
"특별법범",선박안전법,소계,-,-,-,-,-,-,-,-,-,-,-,-,-
"특별법범",선박직원법,소계,-,-,-,-,-,-,-,-,-,-,-,-,-
"특별법범",성매매알선등행위의처벌에관한법률,소계,170,112,40,13,10,3,5,2,1,1,-,5,18
"특별법범",수산업법,소계,-,-,-,-,-,-,-,-,-,-,-,-,-
"특별법범",수산자원관리법,소계,-,-,-,-,-,-,-,-,-,-,-,-,-
"특별법범",식품위생법,소계,3,1,-,-,-,-,-,-,-,-,-,-,2
"특별법범",아동·청소년의성보호에관한법률(성매수등),소계,223,81,109,28,15,14,9,9,7,8,3,16,33
"특별법범",아동·청소년의성보호에관한법률(음란물등),소계,126,113,8,6,1,-,-,1,-,-,-,-,5
"특별법범",아동복지법,소계,70,50,15,7,-,2,1,3,-,-,-,2,5
"특별법범",여객자동차운수사업법,소계,2,1,1,1,-,-,-,-,-,-,-,-,-
"특별법범",여신전문금융업법,소계,87,53,27,6,5,2,2,3,-,2,2,5,7
"특별법범",예비군법,소계,-,-,-,-,-,-,-,-,-,-,-,-,-
"특별법범",외국환거래법,소계,1,-,-,-,-,-,-,-,-,-,-,-,1
"특별법범",의료법,소계,7,3,4,2,-,-,-,-,1,1,-,-,-
"특별법범",자동차관리법,소계,228,106,104,39,17,16,11,3,3,3,3,9,18
"특별법범",자동차손해배상보장법,소계,340,165,154,49,28,29,12,9,5,6,2,14,21
"특별법범",저작권법,소계,37,11,-,-,-,-,-,-,-,-,-,-,26
"특별법범",전자금융거래법,소계,247,165,60,24,13,5,3,4,2,5,-,4,22
"특별법범",정보통신망이용촉진및정보보호등에관한법률,소계,664,436,64,28,13,6,4,3,3,3,-,4,164
"특별법범",조세범처벌법,소계,-,-,-,-,-,-,-,-,-,-,-,-,-
"특별법범",주민등록법,소계,958,684,235,106,54,17,18,12,6,6,4,12,39
"특별법범",청소년보호법,소계,745,563,136,66,24,13,11,5,2,3,3,9,46
"특별법범",축산물위생관리법,소계,-,-,-,-,-,-,-,-,-,-,-,-,-
"특별법범",출입국관리법,소계,6,5,-,-,-,-,-,-,-,-,-,-,1
"특별법범",통신비밀보호법,소계,1,-,-,-,-,-,-,-,-,-,-,-,1
"특별법범",특가법(도주차량),소계,65,24,30,7,2,4,4,1,3,2,-,7,11
"특별법범",폐기물관리법,소계,-,-,-,-,-,-,-,-,-,-,-,-,-
"특별법범",풍속영업의규제에관한법률,소계,2,-,-,-,-,-,-,-,-,-,-,-,2
"특별법범",학원의설립운영및과외교습에관한법률,소계,-,-,-,-,-,-,-,-,-,-,-,-,-
"특별법범",화물자동차운수사업법,소계,-,-,-,-,-,-,-,-,-,-,-,-,-
"특별법범",기타특별법,소계,475,245,159,50,31,13,8,10,11,3,8,25,71
