범죄종류,동종1개월,동종3개월,동종6개월,동종1년,동종2년,동종3년,동종3년초과,이종1개월,이종3개월,이종6개월,이종1년,이종2년,이종3년,이종3년초과
형법재산범죄,1938,1679,1115,2030,476,253,89,1506,1332,984,1791,472,247,141
형법강력(흉)범죄,53,63,57,127,64,20,8,47,68,73,142,58,30,19
형법강력(폭)범죄,351,547,488,831,447,219,76,339,509,436,849,370,189,82
형법위조범죄,30,44,30,79,34,21,3,17,40,35,91,36,22,16
형법풍속범죄,-,-,2,4,1,1,2,3,2,4,8,5,5,2
형법과실범죄,-,1,1,1,3,-,1,-,3,3,4,2,2,1
형법기타,45,56,38,94,33,19,9,49,69,39,113,52,32,8
특별범죄,245,378,375,739,315,208,56,265,389,352,950,433,268,103
