범죄종류,동종1개월,동종3개월,동종6개월,동종1년,동종2년,동종3년,동종3년초과,이종1개월,이종3개월,이종6개월,이종1년,이종2년,이종3년,이종3년초과
형법재산범죄,1561,1512,1107,1891,484,253,81,1192,1333,995,1666,550,322,157
형법강력(흉)범죄,45,68,53,93,60,29,5,39,65,68,204,86,43,16
형법강력(폭)범죄,380,582,575,1030,522,281,83,353,607,562,1236,545,301,118
형법위조범죄,14,34,48,72,41,16,6,21,51,43,102,51,39,7
형법풍속범죄,-,7,2,5,1,3,1,3,5,3,6,4,2,2
형법과실범죄,2,1,1,3,2,1,-,-,-,2,4,2,-,1
형법기타,26,40,33,71,50,19,10,37,64,44,121,56,23,9
특별범죄,199,255,282,661,312,139,39,178,330,307,954,489,282,114
