"범죄별(1)",범죄별(2),범죄별(3),2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020
"범죄별(1)",범죄별(2),범죄별(3),합계,동종재범,동종재범,동종재범,동종재범,동종재범,동종재범,동종재범,동종재범,이종재범,이종재범,이종재범,이종재범,이종재범,이종재범,이종재범,이종재범
"범죄별(1)",범죄별(2),범죄별(3),소계,소계,1개월 이내,3개월 이내,6개월 이내,1년 이내,2년 이내,3년 이내,3년 초과,소계,1개월 이내,3개월 이내,6개월 이내,1년 이내,2년 이내,3년 이내,3년 초과
"형법범",기타형법범죄,유기,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"형법범",기타형법범죄,교통방해,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"형법범",기타형법범죄,공무방해,76,35,2,8,2,13,5,2,3,41,3,7,4,11,7,7,2
"형법범",기타형법범죄,도주와범인은닉,6,3,2,1,-,-,-,-,-,3,1,-,-,1,-,1,-
"형법범",기타형법범죄,위증과증거인멸,3,1,-,1,-,-,-,-,-,2,-,-,1,-,1,-,-
"형법범",기타형법범죄,무고,3,1,-,-,-,-,1,-,-,2,-,1,-,-,1,-,-
"형법범",기타형법범죄,공안을해하는죄,3,1,-,-,-,-,-,1,-,2,-,1,-,-,-,1,-
"형법범",기타형법범죄,내란의죄,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"형법범",기타형법범죄,음용수에관한죄,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"형법범",기타형법범죄,일수와수리에관한죄,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"형법범",기타형법범죄,기타,2,1,-,-,-,-,-,1,-,1,-,-,-,1,-,-,-
"특별법범",소계,소계,5076,2316,245,378,375,739,315,208,56,2760,265,389,352,950,433,268,103
"특별법범",개발제한구역의지정및관리에관한특별조치법,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"특별법범",개인정보보호법,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"특별법범",건축법,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"특별법범",게임산업진흥에관한법률,소계,19,6,1,-,-,2,2,1,-,13,1,-,2,6,3,1,-
"특별법범",경범죄처벌법,소계,42,17,1,2,3,8,1,1,1,25,4,5,5,7,-,2,2
"특별법범",공유재산및물품관리법,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"특별법범",공인중개사법,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"특별법범",공중위생관리법,소계,1,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-
"특별법범",공직선거법,소계,5,4,-,-,1,1,-,1,1,1,-,-,-,-,1,-,-
"특별법범",교통사고처리특례법,소계,844,403,33,49,59,127,73,56,6,441,22,46,53,163,85,50,22
"특별법범",국민체육진흥법,소계,6,-,-,-,-,-,-,-,-,6,1,1,1,3,-,-,-
"특별법범",국토의계획및이용에관한법률,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"특별법범",근로기준법,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"특별법범",근로자퇴직급여보장법,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"특별법범",농수산물의원산지표시에관한법률,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"특별법범",농지법,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"특별법범",대기환경보전법,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"특별법범",대부업등의등록및금융이용자보호에관한법률,소계,4,3,-,2,1,-,-,-,-,1,-,-,-,-,1,-,-
"특별법범",도로교통법,소계,2439,1140,131,198,193,380,132,80,26,1299,132,209,201,421,180,115,41
"특별법범",도로법,소계,1,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-
"특별법범",마약류관리에관한법률,소계,35,12,1,2,1,6,1,1,-,23,2,1,3,8,2,5,2
"특별법범",물환경보전법,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"특별법범",병역법,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"특별법범",부정경쟁방지및영업비밀보호에관한법률,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"특별법범",부정수표단속법,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"특별법범",사행행위등규제및처벌특례법,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"특별법범",산림자원의조성및관리에관한법률,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"특별법범",산업안전보건법,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
