"범죄별(1)",범죄별(2),범죄별(3),2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018
"범죄별(1)",범죄별(2),범죄별(3),합계,동종재범,동종재범,동종재범,동종재범,동종재범,동종재범,동종재범,동종재범,이종재범,이종재범,이종재범,이종재범,이종재범,이종재범,이종재범,이종재범
"범죄별(1)",범죄별(2),범죄별(3),소계,소계,1개월 이내,3개월 이내,6개월 이내,1년 이내,2년 이내,3년 이내,3년 초과,소계,1개월 이내,3개월 이내,6개월 이내,1년 이내,2년 이내,3년 이내,3년 초과
"합계",소계,소계,26905,13091,2227,2499,2101,3826,1472,741,225,13814,1823,2455,2024,4293,1783,1012,424
"형법범",소계,소계,22364,11204,2028,2244,1819,3165,1160,602,186,11160,1645,2125,1717,3339,1294,730,310
"형법범",재산범죄,소계,13104,6889,1561,1512,1107,1891,484,253,81,6215,1192,1333,995,1666,550,322,157
"형법범",재산범죄,절도,8219,4375,1017,955,720,1182,305,148,48,3844,856,922,659,922,290,123,72
"형법범",재산범죄,장물,135,62,11,9,9,27,6,-,-,73,8,11,11,29,6,3,5
"형법범",재산범죄,사기,3829,2057,485,487,297,581,107,73,27,1772,275,330,254,557,166,138,52
"형법범",재산범죄,횡령,504,209,23,25,40,62,40,17,2,295,27,42,36,92,42,38,18
"형법범",재산범죄,배임,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"형법범",재산범죄,손괴,417,186,25,36,41,39,26,15,4,231,26,28,35,66,46,20,10
"형법범",강력범죄(흉악),소계,874,353,45,68,53,93,60,29,5,521,39,65,68,204,86,43,16
"형법범",강력범죄(흉악),살인,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"형법범",강력범죄(흉악),강도,142,59,9,12,9,19,6,4,-,83,7,7,16,37,14,2,-
"형법범",강력범죄(흉악),방화,34,18,7,4,5,2,-,-,-,16,2,3,5,3,1,2,-
"형법범",강력범죄(흉악),성폭력,698,276,29,52,39,72,54,25,5,422,30,55,47,164,71,39,16
"형법범",강력범죄(폭력),소계,7175,3453,380,582,575,1030,522,281,83,3722,353,607,562,1236,545,301,118
"형법범",강력범죄(폭력),폭행,3480,1719,165,266,269,508,300,164,47,1761,141,280,273,584,281,144,58
"형법범",강력범죄(폭력),상해,2137,1013,106,151,168,330,145,86,27,1124,97,185,163,369,174,96,40
"형법범",강력범죄(폭력),협박,210,77,3,19,13,23,13,4,2,133,17,18,12,58,14,12,2
"형법범",강력범죄(폭력),공갈,1022,468,74,105,93,126,45,18,7,554,84,85,91,184,58,36,16
